,Dan,Lokacija,Mesec,SifraCesteNaselja,SifraOdsekaUlice,StanjePrometa,StanjeVozisca,UraPN,VNaselju,VremenskeOkoliscine,VrstaCeste,VrstaVozisca
166,,,,96123,246,,,,,,,
167,,,,96132,247,,,,,,,
168,,,,96409,248,,,,,,,
169,,,,96710,249,,,,,,,
170,,,,96718,250,,,,,,,
171,,,,96734,252,,,,,,,
172,,,,96809,254,,,,,,,
173,,,,96812,255,,,,,,,
174,,,,96816,256,,,,,,,
175,,,,96819,257,,,,,,,
176,,,,96832,258,,,,,,,
177,,,,96833,261,,,,,,,
178,,,,96837,262,,,,,,,
179,,,,96838,263,,,,,,,
180,,,,96866,264,,,,,,,
181,,,,96867,265,,,,,,,
182,,,,96868,266,,,,,,,
183,,,,97027,267,,,,,,,
184,,,,97058,268,,,,,,,
185,,,,97099,273,,,,,,,
186,,,,97106,274,,,,,,,
187,,,,97113,275,,,,,,,
188,,,,97161,276,,,,,,,
189,,,,97203,277,,,,,,,
190,,,,97220,278,,,,,,,
191,,,,97317,280,,,,,,,
192,,,,97326,281,,,,,,,
193,,,,97425,282,,,,,,,
194,,,,97435,286,,,,,,,
195,,,,97438,287,,,,,,,
196,,,,97448,290,,,,,,,
197,,,,97450,291,,,,,,,
198,,,,97465,292,,,,,,,
199,,,,97480,293,,,,,,,
200,,,,97503,294,,,,,,,
201,,,,97504,295,,,,,,,
202,,,,97515,300,,,,,,,
203,,,,97516,301,,,,,,,
204,,,,97519,303,,,,,,,
205,,,,97714,304,,,,,,,
206,,,,97720,305,,,,,,,
207,,,,97727,306,,,,,,,
208,,,,97751,307,,,,,,,
209,,,,97772,308,,,,,,,
210,,,,97777,309,,,,,,,
211,,,,97806,311,,,,,,,
212,,,,97901,312,,,,,,,
213,,,,97912,313,,,,,,,
214,,,,97917,314,,,,,,,
215,,,,97934,315,,,,,,,
216,,,,97940,316,,,,,,,
217,,,,97955,318,,,,,,,
218,,,,98207,320,,,,,,,
219,,,,98208,321,,,,,,,
220,,,,98225,322,,,,,,,
221,,,,98227,326,,,,,,,
222,,,,98229,327,,,,,,,
223,,,,98230,328,,,,,,,
224,,,,98231,330,,,,,,,
225,,,,98245,331,,,,,,,
226,,,,98246,332,,,,,,,
227,,,,98249,333,,,,,,,
228,,,,98250,334,,,,,,,
229,,,,98253,335,,,,,,,
230,,,,98266,336,,,,,,,
231,,,,99000,338,,,,,,,
232,,,,99071,339,,,,,,,
233,,,,99474,340,,,,,,,
234,,,,99719,341,,,,,,,
235,,,,99906,343,,,,,,,
236,,,,99922,344,,,,,,,
237,,,,99989,345,,,,,,,
238,,,,99990,346,,,,,,,
239,,,,99999,347,,,,,,,
240,,,,000A2,349,,,,,,,
241,,,,91231,350,,,,,,,
242,,,,000A1,351,,,,,,,
243,,,,000H2,352,,,,,,,
244,,,,000A3,353,,,,,,,
245,,,,000H3,354,,,,,,,
246,,,,104,355,,,,,,,
247,,,,000A4,356,,,,,,,
248,,,,000A5,357,,,,,,,
249,,,,201,359,,,,,,,
250,,,,452,360,,,,,,,
251,,,,412,361,,,,,,,
252,,,,211,362,,,,,,,
253,,,,8,363,,,,,,,
254,,,,106,364,,,,,,,
255,,,,448,366,,,,,,,
256,,,,101,367,,,,,,,
257,,,,202,368,,,,,,,
258,,,,741,370,,,,,,,
259,,,,000H5,373,,,,,,,
260,,,,000H6,374,,,,,,,
261,,,,111,375,,,,,,,
262,,,,1,376,,,,,,,
263,,,,710,378,,,,,,,
264,,,,229,379,,,,,,,
265,,,,2,380,,,,,,,
266,,,,651,381,,,,,,,
267,,,,105,387,,,,,,,
268,,,,437,388,,,,,,,
269,,,,430,389,,,,,,,
270,,,,447,392,,,,,,,
271,,,,409,393,,,,,,,
272,,,,449,395,,,,,,,
273,,,,235,398,,,,,,,
274,,,,443,399,,,,,,,
275,,,,230,407,,,,,,,
276,,,,5,409,,,,,,,
277,,,,6,410,,,,,,,
278,,,,444,412,,,,,,,
279,,,,445,413,,,,,,,
280,,,,9,422,,,,,,,
281,,,,7,434,,,,,,,
282,,,,109,435,,,,,,,
283,,,,000H4,437,,,,,,,
284,,,,436,440,,,,,,,
285,,,,000H7,441,,,,,,,
286,,,,103,443,,,,,,,
287,,,,901,445,,,,,,,
288,,,,203,446,,,,,,,
289,,,,102,452,,,,,,,
290,,,,204,457,,,,,,,
291,,,,446,460,,,,,,,
292,,,,940,461,,,,,,,
293,,,,902,474,,,,,,,
294,,,,903,481,,,,,,,
295,,,,405,482,,,,,,,
296,,,,611,483,,,,,,,
297,,,,619,484,,,,,,,
298,,,,205,489,,,,,,,
299,,,,206,492,,,,,,,
300,,,,603,493,,,,,,,
301,,,,612,601,,,,,,,
302,,,,402,602,,,,,,,
303,,,,614,603,,,,,,,
304,,,,617,604,,,,,,,
305,,,,207,605,,,,,,,
306,,,,208,606,,,,,,,
307,,,,625,607,,,,,,,
308,,,,11,608,,,,,,,
309,,,,609,609,,,,,,,
310,,,,608,610,,,,,,,
311,,,,403,611,,,,,,,
312,,,,210,613,,,,,,,
313,,,,413,614,,,,,,,
314,,,,225,615,,,,,,,
315,,,,923,616,,,,,,,
316,,,,209,617,,,,,,,
317,,,,904,618,,,,,,,
318,,,,905,619,,,,,,,
319,,,,633,620,,,,,,,
320,,,,907,621,,,,,,,
321,,,,634,622,,,,,,,
322,,,,212,623,,,,,,,
323,,,,635,624,,,,,,,
324,,,,911,625,,,,,,,
325,,,,636,626,,,,,,,
326,,,,909,627,,,,,,,
327,,,,638,628,,,,,,,
328,,,,410,629,,,,,,,
329,,,,639,630,,,,,,,
330,,,,407,631,,,,,,,
331,,,,642,632,,,,,,,
332,,,,728,633,,,,,,,
333,,,,214,634,,,,,,,
334,,,,216,635,,,,,,,
335,,,,650,636,,,,,,,
336,,,,215,637,,,,,,,
337,,,,424,638,,,,,,,
338,,,,683,639,,,,,,,
339,,,,647,640,,,,,,,
340,,,,660,641,,,,,,,
341,,,,108,642,,,,,,,
342,,,,645,643,,,,,,,
343,,,,417,644,,,,,,,
344,,,,665,645,,,,,,,
345,,,,679,646,,,,,,,
346,,,,933,647,,,,,,,
347,,,,646,648,,,,,,,
348,,,,418,649,,,,,,,
349,,,,419,650,,,,,,,
350,,,,675,651,,,,,,,
351,,,,217,652,,,,,,,
352,,,,661,653,,,,,,,
353,,,,218,654,,,,,,,
354,,,,415,655,,,,,,,
355,,,,221,656,,,,,,,
356,,,,680,657,,,,,,,
357,,,,224,658,,,,,,,
358,,,,688,659,,,,,,,
359,,,,690,660,,,,,,,
360,,,,219,661,,,,,,,
361,,,,107,662,,,,,,,
362,,,,423,665,,,,,,,
363,,,,429,666,,,,,,,
364,,,,428,667,,,,,,,
365,,,,112,668,,,,,,,
366,,,,4,669,,,,,,,
367,,,,699,670,,,,,,,
368,,,,227,671,,,,,,,
369,,,,425,672,,,,,,,
370,,,,694,685,,,,,,,
371,,,,426,686,,,,,,,
372,,,,701,687,,,,,,,
373,,,,700,688,,,,,,,
374,,,,686,689,,,,,,,
375,,,,234,690,,,,,,,
376,,,,432,691,,,,,,,
377,,,,433,692,,,,,,,
378,,,,228,726,,,,,,,
379,,,,440,736,,,,,,,
380,,,,441,737,,,,,,,
381,,,,439,746,,,,,,,
382,,,,438,773,,,,,,,
383,,,,232,774,,,,,,,
384,,,,721,775,,,,,,,
385,,,,442,776,,,,,,,
386,,,,726,778,,,,,,,
387,,,,231,779,,,,,,,
388,,,,708,780,,,,,,,
389,,,,712,788,,,,,,,
390,,,,929,789,,,,,,,
391,,,,422,795,,,,,,,
392,,,,220,806,,,,,,,
393,,,,672,807,,,,,,,
394,,,,673,808,,,,,,,
395,,,,919,809,,,,,,,
396,,,,657,810,,,,,,,
397,,,,416,811,,,,,,,
398,,,,414,812,,,,,,,
399,,,,431,813,,,,,,,
400,,,,427,814,,,,,,,
401,,,,434,816,,,,,,,
402,,,,704,873,,,,,,,
403,,,,931,881,,,,,,,
404,,,,644,906,,,,,,,
405,,,,643,907,,,,,,,
406,,,,653,908,,,,,,,
407,,,,213,909,,,,,,,
408,,,,641,910,,,,,,,
409,,,,610,911,,,,,,,
410,,,,914,912,,,,,,,
411,,,,640,913,,,,,,,
412,,,,408,915,,,,,,,
413,,,,915,916,,,,,,,
414,,,,632,1001,,,,,,,
415,,,,404,1002,,,,,,,
416,,,,629,1003,,,,,,,
417,,,,908,1004,,,,,,,
418,,,,674,1005,,,,,,,
419,,,,667,1006,,,,,,,
420,,,,740,1007,,,,,,,
421,,,,454,1008,,,,,,,
422,,,,450,1009,,,,,,,
423,,,,406,1012,,,,,,,
424,,,,621,1013,,,,,,,
425,,,,628,1014,,,,,,,
426,,,,411,1015,,,,,,,
427,,,,435,1016,,,,,,,
428,,,,705,1018,,,,,,,
